formula,prediction,dens_score,peak_score,is_valid,predicted_e_above_hull,is_theoretical
Ba2YI7,19.28497124,12.68794877,2.604495342,TRUE,0.067194022,0.999972999
Ca12Ge16CO46,19.27836037,18.13960776,2.365640106,TRUE,0.042159021,1.000154495
CaCrF6,19.27501678,9.138940745,2.888028166,TRUE,0.000129387,1.000545025
Na2SbAsCO7,19.27001381,9.179492823,2.74915914,TRUE,0.004822746,1.000007391
Ca4I6O,19.26431656,18.04965525,2.264529734,TRUE,0.091883071,0.978956819
Li2VCr2O6,19.26371574,9.112203865,3.002500035,TRUE,0.077596046,0.999975324
Li4ScIn3(SiO3)8,19.26206779,22.7395207,1.964791855,TRUE,0.005490661,0.999932408
Ba7CN6,19.26061058,5.315148962,3.111414728,TRUE,0.08025606,0.999842584
Zn2InGaO5,19.25999832,7.799746492,2.799421954,TRUE,0.014049634,0.999810457
SrErAl3SiN4O3,19.2597599,14.64678364,2.334160203,TRUE,0.046582177,0.999975145
BaSm2Mn,19.25726318,4.629031827,3.144919779,TRUE,0.069224693,1.000001192
Na2NiPCO7,19.2536087,11.24825904,2.669901704,TRUE,0.025865898,0.999981642
CaHfAgHg,19.2479763,1.366507381,3.215818704,TRUE,0.045884833,0.999675155
CaFe6Sb,19.246521,4.373480568,3.108979219,TRUE,0.039429009,1.000204206
Ca14AlSb11,19.24110222,0.984125434,3.315113271,TRUE,5.37E-05,0.99898982
CaNiMoP2O9,19.23438263,8.01408074,2.927726303,TRUE,0.000262856,1.0000453
Li4Ti4Mn(Fe2O9)2,19.23359299,20.71966254,2.098611727,TRUE,0.085548922,1.000030756
Ba3TiGa,19.23044586,1.672582621,3.242506515,TRUE,-2.61E-05,0.999991715
Li4Ti3Mn3(FeO8)2,19.22883797,13.83396067,2.542143208,TRUE,0.043747261,0.999964833
Mg8Co,19.22706985,17.81766478,2.412314634,TRUE,2.34E-05,0.99746865
Ca2TiMnO6,19.22538376,10.79584291,2.613130735,TRUE,0.010243341,1.000270844
LiCo5O5F,19.21863937,12.432259,2.479462264,TRUE,0.07095477,0.999991417
LiMn3(FeO4)2,19.21691322,9.362253465,2.769633915,TRUE,0.069728442,0.999902606
Li3Mn4NiO8,19.21074677,26.06364856,1.603848868,TRUE,0.019115388,1.000032902
Ba2CuH6,19.20707321,14.34078515,2.341324849,TRUE,0.020011425,0.999885678
Li2EuO4,19.20404816,7.487698862,2.726170791,TRUE,0.006131396,0.999975324
BaNaSrTl,19.20278931,1.894648746,3.377855914,TRUE,0.082433127,0.994347572
Sr3CaTiMn3O12,19.20012474,13.26951292,2.516413056,TRUE,0.059274837,1.000011683
Mg17(As3O16)2,19.19868469,10.25763772,2.673753316,TRUE,0.018720478,0.999995112
K2Pt(NO2)4,19.19618607,18.20381764,2.29665914,TRUE,0.097956009,0.970386326
Ba2YbEu,19.19495201,12.80043613,2.504025433,TRUE,0.036265761,1.000010967
YTl4Mo,19.19061089,5.339900018,3.205793792,TRUE,0.00585185,0.999043524
LiAl3SiP2H2CO12,19.18255234,4.714297184,3.033243525,TRUE,0.021414578,0.998256445
Mn5In3O12,19.17964935,9.458216686,2.700537448,TRUE,0.079542235,0.999848127
Ba2AcCu,19.17723274,4.496876222,3.251838086,TRUE,0.000142738,1.000020266
Na5V2P(CO4)4,19.17554665,15.22069903,2.630534031,TRUE,0.055796094,1.000105023
LuCdCu2,19.16949081,9.807013032,2.935719528,TRUE,0.009282768,1.000135183
YbSm2Hg,19.16893959,7.049331294,2.995690203,TRUE,0.010696635,1.000024438
BaCaLaBiO6,19.16788673,12.09397773,2.666919102,TRUE,0.077273473,0.999988437
Ba3GaAs,19.16719818,0.747198821,3.330000204,TRUE,0.001684859,1.000044227
NaFe4Sb,19.16618538,2.999519147,3.115762795,TRUE,0.09966334,1.000240207
Y2(SeO4)3,19.16138077,9.238655005,2.804359259,TRUE,0.062044159,1.000017881
CaBi2Pb,19.15910339,2.394332169,3.203174941,TRUE,0.030782327,1.000072479
Li2Al6Si2P4H6(CO8)3,19.15657806,5.720804281,3.059083065,TRUE,0.079772897,0.998133302
Fe2OF3,19.15508652,10.93252099,2.674955008,TRUE,0.076125346,1.000024319
